time,px,py,pz,qw,qx,qy,qz,vx,vy,vz,wx,wy,wz,ax,ay,az,mx,my,mz
9.59,0,0,0,0.57433889074475,0.818617638814416,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.591,0,0,0,0.574257026109311,0.818675068610307,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.592,0,0,0,0.574175155731301,0.818732490219447,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.593,0,0,0,0.57409327961154,0.818789903641262,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.594,0,0,0,0.574011397750846,0.818847308875178,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.595,0,0,0,0.573929510150038,0.81890470592062,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.596,0,0,0,0.573847616809935,0.818962094777016,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.597,0,0,0,0.573765717731355,0.819019475443791,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.598,0,0,0,0.573683812915119,0.819076847920371,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.599,0,0,0,0.573601902362045,0.819134212206183,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.6,0,0,0,0.573519986072951,0.819191568300652,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.601,0,0,0,0.573438064048658,0.819248916203206,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.602,0,0,0,0.573356136289984,0.819306255913271,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.603,0,0,0,0.573274202797748,0.819363587430273,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.604,0,0,0,0.573192263572771,0.819420910753639,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.605,0,0,0,0.573110318615871,0.819478225882796,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.606,0,0,0,0.573028367927867,0.819535532817171,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.607,0,0,0,0.572946411509581,0.819592831556191,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.608,0,0,0,0.57286444936183,0.819650122099282,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.609,0,0,0,0.572782481485434,0.819707404445872,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.61,0,0,0,0.572700507881214,0.819764678595388,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
9.611,0,0,0,0.572618528549988,0.819821944547257,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
